latitude,longitude,area,azimuth
50.677596,5.541896,260.11,142.98
50.677593,5.544634,11.5,151.89
50.677701,5.544568,15.22,203.6
50.677182,5.546303,13.42,180.0
50.677278,5.546252,11.7,169.33
50.676297,5.661729,33.6,156.11
50.676914,5.538615,62.55,219.94
50.676841,5.539454,10.01,158.73
50.676883,5.540535,69.01,144.05
50.676805,5.540705,11.52,146.2
50.676629,5.54581,35.96,205.2
50.676649,5.545919,17.45,194.17
50.675537,5.66324,14.47,162.86
50.67651,5.538953,10.9,225.0
50.676361,5.540247,41.54,138.37
50.675969,5.543096,34.19,154.13
50.676267,5.559795,16.53,186.13
50.676171,5.560032,21.31,189.1
50.675229,5.658737,10.09,180.0
50.675124,5.661292,17.07,156.8
50.675596,5.540046,23.41,140.56
50.675644,5.539984,42.71,138.84
50.675692,5.547832,23.5,158.39
50.675444,5.559534,40.47,189.42
50.675447,5.559624,20.27,189.46
50.675733,5.559508,14.55,180.0
50.674111,5.664367,25.55,154.37
50.674387,5.665396,26.71,138.79
50.674924,5.543778,69.42,151.3
50.675008,5.543609,35.22,154.8
50.67511,5.54405,41.07,176.54
50.675247,5.547261,18.72,180.0
50.674976,5.562191,54.83,208.23
50.673833,5.663618,25.77,151.99
50.674571,5.545145,10.49,154.8
50.673477,5.646896,10.27,150.64
50.673263,5.662743,28.07,185.58
50.673159,5.664541,15.07,161.5
50.673915,5.54423,62.95,143.39
50.673507,5.547427,25.3,212.47
50.673617,5.560281,20.71,207.52
50.672497,5.657239,19.65,142.86
50.672545,5.657384,28.08,138.28
50.673139,5.545438,11.46,135.5
50.673195,5.545499,86.31,152.64
50.673214,5.558699,27.97,183.44
50.673283,5.558686,28.93,186.89
50.673247,5.558756,29.83,186.63
50.673026,5.558934,33.89,188.56
50.672757,5.560594,35.61,187.92
50.672678,5.564347,18.7,204.25
50.672794,5.564633,38.88,206.57
50.672241,5.649237,24.81,180.0
50.671962,5.652231,48.67,180.0
50.672004,5.652657,13.05,180.0
50.671951,5.652897,38.56,181.58
50.671691,5.658201,13.61,136.52
50.671903,5.660163,40.96,196.19
50.67171,5.662449,26.63,155.21
50.672527,5.560568,26.09,187.35
50.672612,5.564387,40.97,205.02
50.671493,5.651833,13.52,180.0
50.671423,5.656161,11.29,151.98
50.67145,5.65586,23.82,151.34
50.671476,5.657115,23.23,137.48
50.67152,5.657274,16.56,225.0
50.671543,5.656801,17.66,144.74
50.671638,5.656933,15.77,142.28
50.671653,5.656705,11.49,180.0
50.671414,5.657849,17.33,225.0
50.67155,5.657893,22.31,218.83
50.671538,5.660722,10.8,151.27
50.671035,5.661693,15.38,162.47
50.671058,5.661711,15.28,161.64
50.671085,5.661721,15.0,157.57
50.671244,5.674326,33.16,174.89
50.671294,5.674399,21.62,170.48
50.671308,5.674298,11.14,166.37
50.671944,5.557909,12.59,156.56
50.671623,5.558992,25.95,222.78
50.671492,5.560233,12.08,180.0
50.671748,5.560653,16.95,180.0
50.671739,5.56069,10.16,180.0
50.671979,5.560714,13.88,195.26
50.670849,5.649603,12.5,180.0
50.670564,5.650514,60.26,180.0
50.670878,5.655669,24.81,144.68
50.67053,5.65729,16.06,190.79
50.670857,5.657703,54.33,150.17
50.67055,5.659126,22.04,154.8
50.670621,5.659594,19.82,162.32
50.670662,5.659676,11.47,164.27
50.670669,5.659621,12.63,163.02
50.670704,5.659703,13.78,164.61
50.670713,5.659642,14.13,166.37
50.670743,5.659723,17.97,163.14
50.670757,5.65966,15.27,163.75
50.670792,5.659732,10.54,177.95
50.670431,5.661318,18.67,149.52
50.670962,5.663771,40.0,180.0
50.671168,5.536619,96.36,180.0
50.671195,5.536371,79.28,206.81
50.671158,5.536967,107.36,154.13
50.671187,5.536765,61.21,158.03
50.671203,5.542568,10.35,167.82
50.671213,5.542496,25.28,154.8
50.671348,5.542755,13.95,155.04
50.671471,5.549896,14.81,189.34
50.671473,5.556709,40.93,221.06
50.670969,5.557104,33.84,223.87
50.671434,5.559263,13.83,210.69
50.670371,5.655892,37.37,154.61
50.66988,5.658972,24.07,148.63
50.67029,5.658966,78.24,155.97
50.67014,5.661156,17.32,153.43
50.66981,5.663237,14.01,162.26
50.670004,5.67095,30.69,162.91
50.671081,5.536615,48.73,180.0
50.671041,5.53694,95.25,180.0
50.67044,5.544515,10.91,204.15
50.670883,5.556779,15.94,180.0
50.669445,5.644901,81.45,170.28
50.669384,5.645054,11.83,167.51
50.669383,5.645334,25.29,168.08
50.669405,5.645355,11.32,168.88
50.669449,5.645077,66.34,168.53
50.669429,5.645212,83.93,170.75
50.66943,5.648511,201.77,179.2
50.669438,5.648228,90.61,178.74
50.66944,5.648069,83.18,180.0
50.669446,5.647915,64.93,178.58
50.669513,5.648607,55.79,180.0
50.669509,5.648465,61.14,180.0
50.66952,5.648254,124.75,179.36
50.669521,5.647984,125.41,179.36
50.669592,5.657012,54.17,153.43
50.669273,5.663947,11.31,161.57
50.669353,5.663619,10.17,174.49
50.669134,5.670071,11.78,222.99
50.669569,5.671267,33.84,162.55
50.669617,5.671099,36.37,164.12
50.669244,5.672351,48.18,169.78
50.669417,5.671914,36.18,163.44
50.669077,5.673004,17.82,195.73
50.669884,5.543589,160.57,218.59
50.670045,5.545186,106.99,154.13
